ID,CityCode,CityName,Country,StateID,AirportName,IsRail,Source,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,ValidFrom,ValidTo
6934,IXP,Pathankot,564,NULL,Pathankot Arpt,0,NULL,889,893,901,911,919,32.233611,75.634444,NULL,NULL
6935,PAT,Patna,564,NULL,Jai Prakash Narayan Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,25.59129906,85.08799744,NULL,NULL
6936,PTO,Pato Branco,489,859,J Loureiro Cardoso Arpt,0,NULL,889,892,900,910,918,-26.21780014,-52.69430161,NULL,NULL
6937,PBS,Patong Beach,677,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6938,POJ,Patos De Minas,489,752,P Pereira Dos Santos Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-18.67280006,-46.49119949,NULL,NULL
6939,GPA,Patras,548,NULL,Araxos Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,38.1511,21.4256,NULL,NULL
6940,PFJ,Patreksfjordur,568,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,65.555801,-23.965,NULL,NULL
6941,PAN,Pattani,677,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6.785459995,101.1539993,NULL,NULL
6942,PYX,Pattaya,677,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,12.8325,100.949444,NULL,NULL
6943,NHK,Patuxent River,692,840,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,38.285999,-76.411797,NULL,NULL
6944,PUF,Pau Fr,534,NULL,Uzein Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,43.38000107,-0.41861099,NULL,NULL
6945,PAU,Pauk,605,NULL,Pauk Airport,0,NULL,NULL,NULL,NULL,NULL,NULL,21.44919968,94.48690033,NULL,NULL
6946,YPC,Paulatuk,496,777,Nora A Ruben Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,69.36083812,-124.07547,NULL,NULL
6947,PAV,Paulo Afonso,489,745,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,-9.40087986,-38.25059891,NULL,NULL
6948,KPH,Pauloff Harbor,692,819,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6949,PWQ,Pavlodar,584,NULL,Pavlodar Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,52.19499969,77.07389832,NULL,NULL
6950,PWI,Pawi,528,NULL,Beles,0,NULL,NULL,NULL,NULL,NULL,NULL,11.3126,36.4164,NULL,NULL
6951,PYN,Payan,507,NULL,Payan,0,NULL,889,892,900,910,918,1.8,-78.16666667,NULL,NULL
6952,PDU,Paysandu,693,NULL,Tydeo Larre Borges Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,-32.36330032,-58.06190109,NULL,NULL
6953,PJB,Payson,692,823,Payson Arpt,0,NULL,888,890,897,908,915,34.25680161,-111.3389969,NULL,NULL
6954,PZA,Paz De Ariporo,507,NULL,Paz De Ariporo,0,NULL,NULL,NULL,NULL,NULL,NULL,5.87615,-71.8866,NULL,NULL
6955,YPE,Peace River,496,769,Municipal Peace River,0,NULL,888,890,897,908,915,56.226898,-117.446999,NULL,NULL
6956,PGS,Peach Springs,692,823,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6957,YPO,Peawanuck,496,779,Peawanuck Arpt,0,NULL,NULL,NULL,NULL,NULL,NULL,54.98809814,-85.44329834,NULL,NULL
6958,PEB,Pebane,618,NULL,Pebane,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6959,PEX,Pechora,650,NULL,Pechora,0,NULL,NULL,NULL,NULL,NULL,NULL,65.12110138,57.13079834,NULL,NULL
