Code,CityName,CountryCode,StateCode,MetroCode,AssociatedAirports,AirportName,IsRail,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,
YGS,Germansen,CA,,,,Germansen,N,,,,,,,,
YGM,Gimli,CA,MB,,,Gimli Industrial Park Airport,N,,,,,,50.62810135,-97.04329681,
YGE,Gorge Harbour,CA,BC,,,Gorge Harbour Seaplane Base,N,,,,,,50.0994,-125.0235,
YFL,Fort Reliance,CA,NT,,,Fort Reliance Seaplane Base,N,,,,,,62.7,-109.167,
YFJ,Wekwe?©t?˘,CA,NT,,,Wekwe?©t?˘ Airport,N,,,,,,64.190804,-114.077002,
YFG,Fontanges,CA,QC,,,Fontanges Airport,N,,,,,,54.55390167,-71.1733017,
YEU,Eureka,CA,NU,,,Eureka Airport,N,,,,,,79.99469757,-85.81420136,
YES,Yasouj,IR,,,,Yasouj,N,,,,,,30.70050049,51.54510117,
YEQ,Yenkis,PG,,,,Yenkis,N,,,,,,-5.109722222,143.9176667,
YEP,Estevan Point,CA,,,,Estevan Point,N,,,,,,,,
YEM,Manitowaning,CA,ON,,,Manitoulin East Municipal Airport,N,,,,,,45.84280014,-81.85810089,
YDW,Obre Lake,CA,NT,,,North of Sixty Airport,N,,,,,,60.31639862,-103.1289978,
YDU,Kasba Lake,CA,NT,,,Kasba Lake Airport,N,,,,,,60.29190063,-102.5019989,
YDS,Desolation Sound,CA,,,,Desolation Sound,N,,,,,,,,
YDR,Broadview,CA,,,,Broadview,N,,,,,,,,
YDK,Main Duck Island,CA,,,,Main Duck Island,N,,,,,,,,
YDJ,Hatchet Lake,CA,SK,,,Hatchet Lake Airport,N,,,,,,58.66249847,-103.538002,
YDI,Davis Inlet,CA,,,,Davis Inlet,N,,,,,,,,
YDH,Daniels Harbour,CA,,,,Daniels Harbour,N,,,,,,,,
YDE,Paradise River,CA,NL,,,Paradise River Airport,N,,,,,,53.43,-57.23333359,
YDB,Burwash,CA,YT,,,Burwash Airport,N,,,,,,61.37110138,-139.0410004,
YCX,Gagetown,CA,,,,Gagetown,N,,,,,,,,
YCV,Montreal,CA,QC,,,Cartierville Airport,N,,,,,,45.51670074,-73.71669769,
YCP,Co-Op Point,CA,,,,Co-Op Point,N,,,,,,52.11669922,-119.2829971,
YCJ,Cape St James,CA,,,,Cape St James,N,,,,,,,,
YCI,Caribou Island,CA,,,,Caribou Island,N,,,,,,,,
YCE,Centralia,CA,ON,,,Centralia / James T. Field Memorial Aerodrome,N,,,,,,43.285599,-81.508301,
YBS,Opapimiskan Lake,CA,ON,,,Opapimiskan Lake Airport,N,,,,,,52.6067009,-90.37689972,
YBO,Bob Quinn Lake,CA,BC,,,Bob Quinn Lake Airport,N,,,,,,56.96670151,-130.25,
YBN,Borden,CA,ON,,,CFB Borden,N,,,,,,44.27170181,-79.91249847,
YBM,Bronson Creek,CA,BC,,,Bronson Creek Airport,N,,,,,,56.68109894,-131.0870056,
YBI,Black Tickle,CA,NL,,,Black Tickle Airport,N,,,,,,53.4693985,-55.78499985,
YBH,Bull Harbour,CA,BC,,,Bull Harbour Water Aerodrome,N,,,,,,50.9179,-127.9372,
YBF,Bamfield,CA,BC,,,Bamfield Seaplane Base,N,,,,,,48.83330154,-125.1330032,
YAX,Angling Lake,CA,ON,,,Wapekeka Airport,N,,,,,,53.8492012,-89.57939911,
YAU,Kattiniq,CA,QC,,,Donaldson Airport,N,,,,,,61.66220093,-73.3214035,
YAS,Yasawa Island,FJ,,,,Yasawa Island,N,,,,,,-16.75889969,177.5449982,
YAR,La Grande-3,CA,QC,,,La Grande-3 Airport,N,,,,,,53.57170105,-76.1964035,
YAQ,Maple Bay,CA,BC,,,Maple Bay Seaplane Base,N,,,,,,48.8167,-123.6084,
YAN,Yangambi,ZR,,,,Yangambi,N,,,,,,0.782999992,24.46699905,
YAH,La Grande-4,CA,QC,,,La Grande-4 Airport,N,,,,,,53.75469971,-73.6753006,
YAE,Alta Lake,CA,,,,Alta Lake,N,,,,,,,,
YAD,Moose Lake,CA,MB,,,Moose Lake Airport,N,,,,,,53.70625896,-100.3439713,
XZU,Rail (Generic),US,,,,Off Line Point,N,,,,,,,,
XZQ,Rail (Generic),SE,,,,Pass Rail,Y,,,,,,,,
XZE,Rail (Generic),DE,,,,Off Line Point,N,,,,,,,,
XYT,Toulouse,FR,,,,Montaudran,N,,,,,,,,
XYR,Yellow River,PG,,,,Yellow River,N,,,,,,-3.883986,141.792234,
XYE,Ye,MM,,,,Ye,N,,,,,,15.30000019,97.86699677,
XVL,Vinh Long,VN,,,,Vinh Long,N,,,,,,10.2509,105.9445,
XTT,Paris,FR,,,,Etoile,N,,,,,,,,
XTM,Ramadi,IQ,,,,Ramidi,N,,,,,,,,
XSO,Siocon,PH,,,,Siocon,N,,,,,,7.710481328,122.1611881,
