Code,CityName,CountryCode,StateCode,MetroCode,AssociatedAirports,AirportName,IsRail,Region1,Region2,Region3,Region4,Region5,Latitude,Longitude,
AAA,Anaa,PF,,,AAA,Anaa Arpt,N,,,,,,-17.3526001,-145.5099945,
AAB,Arrabury,AU,QLD,,AAB,Arrabury Airport,N,International,Pac-North,Australia,Australia,APAC,-26.693023,141.047771,
AAC,El Arish,EG,,,AAC,Al Arish International,N,,,,,,31.07329941,33.83580017,
AAD,ADADO,SO,,,AAD,Adado Airport,N,,,,,,6.095802,46.6375,
AAE,Annaba,DZ,,,AAE,Les Salines Arpt,N,,,,,,36.822201,7.809174,
AAF,Apalachicola,US,FL,,AAF,Apalachicola Municipal Arpt,N,,,,,,29.72750092,-85.02749634,
AAG,Arapoti,BR,PR,,AAG,Avelino Vieira Arpt,N,International,Latin America,South America,South America,South America,-24.10390091,-49.78910065,
AAH,Aachen,DE,,,AAH  AAW  XHJ,Aachen Merzbruck Arpt,N,,,,,,50.82305527,6.186388969,
AAK,Aranuka,KI,,,AAK,Aranuka Airport,N,,,,,,0.185277998,173.6369934,
AAL,Aalborg,DK,,,AAL  ZTG,Aalborg Arpt,N,International,EMEA,Atlantic,Europe,EMEA,57.09275891,9.849243164,
AAM,Mala Mala,ZA,,,AAM,Mala Mala Arpt,N,,,,,,-24.81809998,31.54459953,
AAN,Al Ain,AE,,,AAN  ZVH,Al Ain Arpt,N,International,EMEA,Middle East,Asia,EMEA,24.26169968,55.60919952,
QAJ,Ajman City,AE,,,,,N,,,,,,,,
AAQ,Anapa,RU,,,AAQ,Anapa Arpt,N,,,,,,45.0021019,37.34730148,
AAR,Aarhus,DK,,,AAR  AJH  ZID  ZJH,Tirstrup Arpt,N,International,EMEA,Atlantic,Europe,EMEA,56.29999924,10.61900043,
AAT,Altay,CN,,,AAT,Altay Arpt,N,,,,,,47.74988556,88.0858078,
AAU,Asau,WS,,,AAU,Asau Airport,N,,,,,,-13.505132,-172.627888,
AAX,Araxa,BR,MG,,AAX,Araxa Airport,N,,,,,,-19.5632,-46.96039963,
AAY,Al Ghaydah,YE,,,AAY,Al Ghaydah Arpt,N,,,,,,16.19169998,52.17499924,
AAZ,Quetzaltenango,GT,,,AAZ,Quetzaltenango Arpt,N,,,,,,14.8656,-91.501999,
ABA,Abakan,RU,,,ABA,Abakan Arpt,N,International,EMEA,Asia,Europe,Russia,53.74000168,91.38500214,
ABB,Asaba,NG,,,ABB,Asaba International Arpt,N,,,,,,6.204167,6.665278,
ABC,Albacete,ES,,,ABC  EEM  XJJ,Albacete Arpt,N,,,,,,38.94850159,-1.863520026,
ABD,Abadan,IR,,,ABD,Abadan Arpt,N,,,,,,30.37109947,48.22829819,
ABE,Allentown,US,PA,,ABE,Lehigh Valley Intl Arpt,N,North America,North America,North America,North America,North America,40.65209961,-75.44080353,
ARZ,N Zeto,AO,,,,,N,,,,,,-7.259439945,12.86310005,
CAB,Cabinda,AO,,,,,N,,,,,,-5.596990108,12.18840027,
ABI,Abilene,US,TX,,ABI  DYS,Abilene Municipal Arpt,N,North America,North America,North America,North America,North America,32.41130066,-99.68190002,
ABJ,Abidjan,CI,,,ABJ,Felix Houphouet Boigny Arpt,N,,,,,,5.261390209,-3.926290035,
CEO,Waco Kungo,AO,,,,,N,,,,,,-11.42640018,15.10140038,
ABL,Ambler,US,AK,,ABL,Ambler Arpt,N,North America,North America,North America,North America,North America,67.1063,-157.856989,
ABM,Bamaga,AU,QLD,,ABM,Bamaga Arpt,N,,,,,,-10.9508,142.459,
ABQ,Albuquerque,US,NM,,ABQ,Albuquerque Intl Sunport,N,North America,North America,North America,North America,North America,35.040199,-106.609001,
ABR,Aberdeen,US,SD,,ABR,Aberdeen Regional Arpt,N,North America,North America,North America,North America,North America,45.44910049,-98.42179871,
ABS,Abu Simbel,EG,,,ABS,Abu Simbel Arpt,N,,,,,,22.37599945,31.61170006,
ABT,Al Baha,SA,,,ABT,Al Aqiq,N,,,,,,20.29610062,41.63430023,
DUE,Dundo,AO,,,,,N,,,,,,-7.400889874,20.81850052,
ABV,Abuja,NG,,,ABV,Abuja Intl,N,,,,,,9.006790161,7.263169765,
ABX,Albury,AU,NSW,,ABX,Albury Airport,N,,,,,,-36.06779861,146.9579926,
ABY,Albany,US,GA,,ABY,Southwest Georgia Regional Arpt,N,North America,North America,North America,North America,North America,31.53549957,-84.19450378,
ABZ,Aberdeen,GB,,,ABZ  ZXA,Dyce Airport,N,International,EMEA,Atlantic,Europe,EMEA,57.20190048,-2.197779894,
ACA,Acapulco,MX,,,ACA,Alvarez Intl Arpt,N,International,Latin America,Mexico,North America,Mexico,16.75709915,-99.7539978,
ACC,Accra,GH,,,ACC,Kotoka Airport,N,,,,,,5.6051898,-0.166786,
ACD,Acandi,CO,,,ACD,Aeropuerto Alcides Fernandez,N,International,Latin America,South America,South America,South America,8.51667,-77.3,
ACE,Lanzarote,ES,,,ACE,Lanzarote Airport,N,International,EMEA,Atlantic,Europe,EMEA,28.945499,-13.6052,
ACH,Altenrhein,CH,,,ACH,Altenrhein Arpt,N,International,EMEA,Atlantic,Europe,EMEA,47.48500061,9.560770035,
ACI,Alderney,GB,,,ACI,The Blaye Arpt,N,International,EMEA,Atlantic,Europe,EMEA,49.706104,-2.21472,
MEG,Malange,AO,,,,,N,,,,,,-9.525090218,16.31240082,
ACK,Nantucket,US,MA,,ACK,Nantucket Memorial,N,North America,North America,North America,North America,North America,41.25310135,-70.06020355,
ACO,Ascona,CH,,,ACO,Ascona Arpt,N,,,,,,46.15779877,8.78194046,
ACR,Araracuara,CO,,,ACR,Araracuara Arpt,N,,,,,,-0.5833,-72.4083,
ACT,Waco,US,TX,,ACT  CNW,Waco Regional Arpt,N,North America,North America,North America,North America,North America,31.61129951,-97.23049927,
ACV,Arcata,US,CA,,ACV,Arcata Arpt,N,North America,North America,North America,North America,North America,40.978101,-124.109,
ACX,Xingyi,CN,,,ACX,Xingyi Arpt,N,,,,,,25.08638889,104.9594444,
ACY,Atlantic City,US,NJ,,ACY  JSL  ZRA,Atlantic City Intl Arpt,N,North America,North America,North America,North America,North America,39.45759964,-74.57720184,
ADA,Adana,TR,,,ADA  UAB,Adana Arpt,N,,,,,,36.98220062,35.28039932,
ADB,Ephesus,TR,,,,Adnan Menderes Airport,N,,,,,,38.29240036,27.15699959,
ADD,Addis Ababa,ET,,,ADD,Bole Airport,N,,,,,,8.977890015,38.79930115,
ADE,Aden,YE,,,ADE,Yemen Intl Arpt,N,,,,,,12.8295002,45.02880096,
ADF,Adiyaman,TR,,,ADF,Adiyaman Arpt,N,International,EMEA,Middle East,Europe,EMEA,37.73139954,38.46889877,
ADG,Adrian,US,MI,,ADG,Lenawee County Arpt,N,,,,,,41.86769867,-84.07730103,
ADH,Aldan,RU,,,ADH,Aldan Airport,N,,,,,,58.60279846,125.4089966,
ADK,Adak Island,US,AK,,ADK,Adak Island Ns,N,North America,North America,North America,North America,North America,51.87799835,-176.6459961,
ADL,Adelaide,AU,SA,,ADL  XHX,Adelaide Arpt,N,,,,,,-34.945,138.531006,
ADM,Ardmore,US,OK,,ADM  AHD,Ardmore Municipal Arpt,N,North America,North America,North America,North America,North America,34.30301,-97.0196342,
ADQ,Kodiak,US,AK,,ADQ  KDK  WDY,Kodiak Arpt,N,North America,North America,North America,North America,North America,57.75,-152.4940033,
ADT,Ada OK,US,OK,,ADT,Ada Municipal Arpt,N,,,,,,34.804298,-96.671303,
ADU,Ardabil,IR,,,ADU,Ardabil Arpt,N,,,,,,38.32569885,48.42440033,
ADW,Camp Springs,US,MD,,ADW  NSF,Andrews Air Force Base,N,,,,,,38.810799,-76.866997,
ADX,St Andrews,GB,,,ADX,Leuchars Arpt,N,,,,,,56.3728981,-2.868439913,
ADZ,San Andres,CO,,,ADZ,Gustavo R Pinilla Intl,N,,,,,,12.5836,-81.7112,
SPP,Menongue,AO,,,,,N,,,,,,-14.6576004,17.71980095,
AEB,Baise,CN,,,AEB,Youjiang Arpt,N,International,Pac-North,Asia,Asia,APAC,23.72060013,106.9599991,
AED,Aleneva,US,AK,,AED,Aleneva Arpt,N,,,,,,,,
APZ,Zapala,AR,,,,,N,,,,,,-38.975498,-70.113602,
AEI,Algeciras,ES,,,AEI  AXI,Algeciras Arpt,N,,,,,,36.12888,-5.441118,
AEL,Albert Lea,US,MN,,AEL,Albert Lea Arpt,N,,,,,,43.68149948,-93.36720276,
AEM,Amgu,RU,,,AEM,Amgu Airport,N,,,,,,45.84126,137.673568,
ARR,Alto Rio Senguerr,AR,,,,,N,International,Latin America,South America,South America,South America,-45.013599,-70.812202,
AER,Sochi,RU,,,AER,Sochi Intl Arpt,N,International,EMEA,Asia,Europe,Russia,43.449902,39.9566,
AES,Aalesund,NO,,,AES,Vigra Airport,N,International,EMEA,Atlantic,Europe,EMEA,62.5625,6.119699955,
BUE,Buenos Aires,AR,,BUE,AEP  BBE  EZE,,N,,,,,,,,
AEX,Alexandria,US,LA,,AEX  ESF,Alexandria Intl Arpt,N,North America,North America,North America,North America,North America,31.32740021,-92.54979706,
AEY,Akureyri,IS,,,AEY,Akureyri,N,,,,,,65.66000366,-18.0727005,
AFA,San Rafael,AR,,,AFA,San Rafael Arpt,N,,,,,,-34.588299,-68.4039,
AFD,Port Alfred,ZA,,,AFD,Port Alfred Airport,N,,,,,,-33.55419922,26.87770081,
AFK,Ampara,LK,,,AFK,Kondavattavan Tank Arpt,N,International,Pac-North,Asia,Asia,Pac-North,7.284,81.644,
AFL,Alta Floresta,BR,MT,,AFL,Oswaldo Marques Dias Arpt,N,International,Latin America,South America,South America,South America,-9.866389275,-56.10499954,
CCT,Colonial Catriel,AR,,,,,N,International,Latin America,South America,South America,South America,-37.91019821,-67.83499908,
AFS,Zarafsan,UZ,,,AFS,Zarafshan Airport,N,International,EMEA,Middle East,Asia,EMEA,41.61389923,64.23320007,
AFY,Afyon,TR,,,AFY,Afyon Arpt,N,,,,,,38.72639847,30.60110092,
AGA,Agadir,MA,,,AGA,Agadir Almassira Arpt,N,,,,,,30.32500076,-9.413069725,
AGB,Augsburg,DE,,,AGB  AGY  AUB,Munich Augsburg Airport,N,,,,,,48.425278,10.931667,
AGE,Wangerooge,DE,,,AGE,Flugplatz Arpt,N,International,EMEA,Atlantic,Europe,EMEA,53.78277969,7.913888931,
AGF,Agen,FR,,,AGF,La Garenne Arpt,N,International,EMEA,Atlantic,Europe,EMEA,44.17470169,0.590556026,
AGH,Angelholm,SE,,,AGH  XYQ,Angelholm Helsingborg Arpt,N,International,EMEA,Atlantic,Europe,EMEA,56.29610062,12.84710026,
CUT,Cutral Co,AR,,,,,N,International,Latin America,South America,South America,South America,-38.93970108,-69.26460266,
EMX,El Maiten,AR,,,,,N,International,Latin America,South America,South America,South America,-42.02920151,-71.17250061,
AGM,Tasiilaq,GL,,,AGM,Tasiilaq Heliport,N,,,,,,,,
AGN,Angoon,US,AK,,AGN,Angoon Seaplane base,N,North America,North America,North America,North America,North America,57.503601,-134.585007,
AGO,Magnolia,US,AR,,AGO,Magnolia Municipal,N,North America,North America,North America,North America,North America,33.22800064,-93.21700287,
AGP,Malaga,ES,,,AGP  YJM,Malaga Arpt,N,International,EMEA,Atlantic,Europe,EMEA,36.67490005,-4.499110222,
AGQ,Agrinion,GR,,,AGQ,Agrinion Arpt,N,,,,,,38.602001,21.3512001,
AGR,Agra,IN,,,AGR,Kheria Arpt,N,,,,,,27.15579987,77.96089935,
AGS,Augusta,US,GA,,AGS  DNL,Augusta Regional Bush Field Arpt,N,North America,North America,North America,North America,North America,33.36989975,-81.96450043,
AGT,Ciudad Del Este,PY,,,AGT,Guarani Intl,N,International,Latin America,South America,South America,Latin America,-25.454516,-54.842682,
AGU,Aguascalientes,MX,,,AGU,Aguascalientes Municipal Arpt,N,International,Latin America,Mexico,North America,Mexico,21.705601,-102.318001,
GGS,Gobernador Gregores,AR,,,,,N,International,Latin America,South America,South America,South America,-48.7831,-70.150002,
AGX,Agatti Island,IN,,,AGX,Agatti Aerodrome,N,International,Pac-North,Asia,Asia,APAC,10.82369995,72.1760025,
GPO,General Pico,AR,,,,,N,,,,,,-35.69620132,-63.75830078,
AHB,Abha,SA,,,AHB,Abha Airport,N,,,,,,18.24040031,42.65660095,
AHC,Herlong,US,CA,,AHC,Herlong Arpt,N,,,,,,40.26620102,-120.1529999,
AHE,AHE Atoll,PF,,,AHE,AHE Airport,N,,,,,,-14.42809963,-146.2570038,
AHI,Amahai,ID,,,AHI,Amahai Airport,N,,,,,,-3.34800005,128.9259949,
AHJ,Aba Hongyuan,CN,,,AHJ,Aba Hongyuan Airport,N,,,,,,32.53154,102.35224,
AHN,Athens,US,GA,,AHN,Athens Municipal,N,North America,North America,North America,North America,North America,33.94860077,-83.32630157,
AHO,Alghero,IT,,,AHO,Fertilia Arpt,N,International,EMEA,Atlantic,Europe,EMEA,40.632099,8.29077,
ING,Lago Argentino,AR,,,,,N,,,,,,-50.336102,-72.248596,
AHU,Al Hoceima,MA,,,AHU,Charif Al Idrissi Arpt,N,,,,,,35.17710114,-3.839519978,
AIA,Alliance,US,NE,,AIA,Alliance Municipal,N,North America,North America,North America,North America,North America,42.05319977,-102.8040009,
AIB,Anita Bay,US,AK,,AIB,Anita Bay Arpt,N,,,,,,,,
AID,Anderson,US,IN,,AID,Anderson Municipal Arpt,N,North America,North America,North America,North America,North America,40.10860062,-85.61299896,
JSM,Jose De San Martin,AR,,,,,N,International,Latin America,South America,South America,South America,-44.04859924,-70.45890045,
NEC,Necochea,AR,,,,,N,,,,,,-38.4831,-58.8172,
AIK,Aiken,US,SC,,AIK,Aiken Municipal Arpt,N,North America,North America,North America,North America,North America,33.6493988,-81.68499756,
AIN,Wainwright,US,AK,,AIN,Wainwright Municipal Arpt,N,North America,North America,North America,North America,North America,70.63800049,-159.9949951,
AIO,Atlantic,US,IA,,AIO,Municipal Atlantic Arpt,N,,,,,,41.40729904,-95.04689789,
AIP,Adampur,IN,,,AIP,Adampur Airport,N,,,,,,31.4338,75.758797,
OES,San Antonio Oeste,AR,,,,,N,,,,,,-40.7512,-65.0343,
OLN,Colonia Sarmiento,AR,,,,,N,International,Latin America,South America,South America,South America,-45.582371,-68.999841,
AIT,Aitutaki,CK,,,AIT,Aitutaki Arpt,N,,,,,,-18.83090019,-159.7640076,
PMQ,Perito Moreno,AR,,,,,N,,,,,,-46.537899,-70.978699,
AIV,Aliceville,US,AL,,AIV,Aliceville Arpt,N,,,,,,33.106499,-88.1978,
AIZ,Lake Of The Ozarks,US,MO,,AIZ,Lee C Fine Memorial,N,North America,North America,North America,North America,North America,38.09600067,-92.54949951,
AJA,Ajaccio,FR,,,AJA,Napoleon Bonaparte Arpt,N,,,,,,41.92359924,8.802920341,
AJF,Al Jouf,SA,,,AJF,Jouf Airport,N,,,,,,29.78510094,40.09999847,
AJI,Agri,TR,,,AJI,Agri Airport,N,,,,,,39.65454102,43.02597809,
AJL,Aizawl,IN,,,AJL,Lengpui Airport,N,International,Pac-North,Asia,Asia,APAC,23.84059906,92.61969757,
PUD,Puerto Deseado,AR,,,,,N,,,,,,-47.7353,-65.9041,
AJR,Arvidsjaur,SE,,,AJR,Arvidsjaur Arpt,N,International,EMEA,Atlantic,Europe,EMEA,65.59030151,19.28190041,
AJU,Aracaju,BR,SE,,AJU,Santa Maria Arpt,N,,,,,,-10.98400021,-37.07030106,
AKA,Ankang,CN,,,AKA,Wulipu Arpt,N,,,,,,32.708099,108.931,
AKB,Atka,US,AK,,AKB,Atka Arpt,N,North America,North America,North America,North America,North America,52.22029877,-174.2059937,
AKD,Akola,IN,,,AKD,Akola Airport,N,International,Pac-North,Asia,Asia,APAC,20.698999,77.058601,
RCQ,Reconquista,AR,,,,,N,,,,,,-29.2103,-59.68,
ROY,Rio Mayo,AR,,,,,N,International,Latin America,South America,South America,South America,-45.70389938,-70.24559784,
RYO,Rio Turbio,AR,,,,,N,International,Latin America,South America,South America,South America,-51.605,-72.2203,
AKJ,Asahikawa,JP,,,AKJ,Asahikawa Arpt,N,International,Pac-North,Asia,Asia,APAC,43.67079926,142.4470062,
AKK,Akhiok,US,AK,,AKK,Akhiok Arpt,N,North America,North America,North America,North America,North America,56.93870163,-154.1829987,
AKL,Auckland,NZ,,,AKL  MHB,Auckland Arpt,N,,,,,,-37.0080986,174.7920074,
AKN,King Salmon,US,AK,,AKN,King Salmon Arpt,N,North America,North America,North America,North America,North America,58.67679977,-156.6490021,
AKO,Akron,US,CO,,AKO,Washington County,N,,,,,,40.17559814,-103.2220001,
RZA,Santa Cruz,AR,,,,,N,,,,,,-50.0165,-68.5792,
SGV,Sierra Grande,AR,,,,,N,International,Latin America,South America,South America,South America,-41.59170151,-65.33940125,
AKS,Auki,SB,,,AKS,Gwaunaruu Airport,N,,,,,,-8.70257,160.682007,
AKU,Aksu,CN,,,AKU,Aksu Arpt,N,,,,,,41.262501,80.291702,
AKV,Akulivik,CA,PQ,,AKV,Akulivik Arpt,N,,,,,,60.8185997,-78.14859772,
AKX,Aqtobe,KZ,,,AKX,Aqtobe Arpt,N,International,EMEA,Asia,Asia,Russia,50.2458,57.206699,
AKY,Sittwe,MM,,,AKY,Sittwe Arpt,N,,,,,,20.13269997,92.87259674,
ALA,Almaty,KZ,,,ALA,Almaty Arpt,N,,,,,,43.35210037,77.04049683,
ALB,Albany,US,NY,,ALB  ZLY,Albany Cty Arpt,N,North America,North America,North America,North America,North America,42.74829865,-73.80169678,
ALC,Alicante,ES,,,ALC  YJE,Alicante Arpt,N,International,EMEA,Atlantic,Europe,EMEA,38.28219986,-0.558156013,
ULA,San Julian,AR,,,,,N,,,,,,-49.3068,-67.8026,
ALE,Alpine,US,TX,,ALE,Casparis Municipal Arpt,N,North America,North America,North America,North America,North America,30.38419914,-103.6839981,
ALF,Alta,NO,,,ALF,Elvebakken Arpt,N,International,EMEA,Atlantic,Europe,EMEA,69.97609711,23.37170029,
ALG,Algiers,DZ,,,ALG,Houari Boumedienne Arpt,N,,,,,,36.69100189,3.215409994,
ALH,Albany,AU,WA,,ALH,Albany Airport,N,,,,,,-34.94329834,117.8089981,
ALI,Alice,US,TX,,ALI,Alice International Airport,N,North America,North America,North America,North America,North America,27.74090004,-98.02690125,
ALJ,Alexander Bay,ZA,,,ALJ,Kortdoorn Arpt,N,,,,,,-28.575001,16.5333,
ALL,Albenga,IT,,,ALL,Albenga Arpt,N,International,EMEA,Atlantic,Europe,EMEA,44.050598,8.12743,
ALM,Alamogordo,US,NM,,ALM  HMN,Alamogordo Municipal,N,North America,North America,North America,North America,North America,32.83990097,-105.9909973,
ANT,St Anton,AT,,,,,N,International,Pac-North,Australia,Australia,APAC,47.234444,11.40388889,
ALO,Waterloo,US,IA,,ALO,Livingston Betsworth Fld,N,North America,North America,North America,North America,North America,42.55709839,-92.40029907,
ALP,Aleppo,SY,,,ALP,Nejrab Arpt,N,,,,,,36.18069839,37.22439957,
ALQ,Alegrete,BR,RS,,ALQ,G Machado Ramos Arpt,N,,,,,,-29.81270027,-55.89339828,
ALR,Alexandra,NZ,,,ALR,Alexandra Arpt,N,,,,,,-45.21170044,169.3730011,
ALS,Alamosa,US,CO,,ALS,San Luis Valley Rgnl Arpt,N,North America,North America,North America,North America,North America,37.434898,-105.866997,
QDI,Dornbirn,AT,,,,,N,,,,,,,,
ALV,Andorra La Vella,AD,,,ALV,Andorra La Vella Hlpt,N,,,,,,42.511174,1.533551,
ALW,Walla Walla,US,WA,,ALW,Walla Walla Regional Arpt,N,North America,North America,North America,North America,North America,46.09489822,-118.288002,
ALX,Alexander City,US,AL,,ALX,Thomas C Russell Field,N,North America,North America,North America,North America,North America,32.91469955,-85.96299744,
ALY,Alexandria,EG,,,ALY,El Nouzha Arpt,N,International,EMEA,Africa,Africa,EMEA,31.18390083,29.94890022,
XOH,KITZBUEHEL,AT,,,XJS,,N,,,,,,,,
AMA,Amarillo,US,TX,,AMA  TDW,Amarillo Rick Husband Intl Arpt,N,North America,North America,North America,North America,North America,35.219398,-101.706001,
XOO,Soelden,AT,,,,,N,,,,,,,,
AMD,Ahmedabad,IN,,,AMD,Sardar Vallabh Bhai Patel Intl Arpt,N,,,,,,23.07719994,72.63469696,
AMH,Arba Minch,ET,,,AMH,Arba Minch Airport,N,,,,,,6.039390087,37.59049988,
AMI,Mataram,ID,,,AMI,Selaparang Airport,N,,,,,,-8.560709953,116.0950012,
AMJ,Almenara,BR,MG,,AMJ,Cirilo Queiroz,N,,,,,,-16.18389,-40.66722,
XOW,Seefeld,AT,,,,,N,,,,,,,,
AMM,Amman,JO,,,ADJ  AMM,Queen Alia Intl Arpt,N,,,,,,31.72260094,35.99319839,
ZRS,Zurs Lech,AT,,,,,N,,,,,,,,
AMQ,Ambon,ID,,,AMQ,Pattimura Arpt,N,,,,,,-3.710259914,128.0890045,
AMS,Amsterdam,NL,,,AMS  DJK  ZYA,Schiphol Arpt,N,International,EMEA,Atlantic,Europe,EMEA,52.308601,4.76389,
ABH,Alpha,AU,QLD,,,,N,,,,,,-23.646099,146.584,
AMW,Ames,US,IA,,AMW,Ames Minicipal Arpt,N,North America,North America,North America,North America,North America,41.992001,-93.621803,
AWN,Alton Downs,AU,SA,,,,N,International,Pac-North,Australia,Australia,APAC,-26.5333004,139.2669983,
AMZ,Ardmore,NZ,,,AMZ,Ardmore Airport,N,International,Pac-South,Australia,Australia,APAC,-37.02970123,174.9730072,
ANA,Angama,KE,,,ANA,Angama Mara Airport,N,North America,North America,North America,North America,North America,-1.27156,34.955513,
ANB,Anniston,US,AL,,ANB  QAW  RLI,Anniston Municipal Arpt,N,North America,North America,North America,North America,North America,33.58819962,-85.85810089,
ANC,Anchorage,US,AK,,ANC  EDF  FRN  MRI,Anchorage Ted Stevens Intl Arpt,N,North America,North America,North America,North America,North America,61.17440033,-149.9960022,
AND,Anderson,US,SC,,AND,Anderson Arpt,N,North America,North America,North America,North America,North America,34.49459839,-82.70939636,
ANE,Angers,FR,,,ANE  QXG,Marce Arpt,N,International,EMEA,Atlantic,Europe,EMEA,47.560299,-0.312222,
ANF,Antofagasta,CL,,,ANF,Cerro Moreno Arpt,N,,,,,,-23.44449997,-70.44509888,
ANG,Angouleme,FR,,,ANG,Brie Champniers,N,International,EMEA,Atlantic,Europe,EMEA,45.72919846,0.221456006,
ANI,Aniak,US,AK,,ANI,Aniak Arpt,N,North America,North America,North America,North America,North America,61.58160019,-159.5429993,
AWP,Austral Downs,AU,NT,,,,N,International,Pac-North,Australia,Australia,APAC,-20.5,137.75,
ANK,Ankara,TR,,,ANK  ESB,Etimesgut Arpt,N,,,,,,39.94979858,32.68859863,
AXL,Alexandria,AU,NT,,,,N,International,Pac-North,Australia,Australia,APAC,-19.06019974,136.7100067,
ANN,Annette Island,US,AK,,ANN,Annette Island Arpt,N,North America,North America,North America,North America,North America,55.04240036,-131.5720062,
ANP,Annapolis,US,MD,,ANP,Lee Annapolis Arpt,N,,,,,,38.942902,-76.568398,
ANR,Antwerp,BE,,ANR,ANR  ZAY  ZWE  ZYZ,Antwerp Brussels North,N,,,,,,51.18939972,4.460279942,
BXG,Bendigo,AU,VIC,,,,N,International,Pac-North,Australia,Australia,APAC,-36.73939896,144.3300018,
BZD,Balranald,AU,NSW,,,,N,International,Pac-North,Australia,Australia,APAC,-34.62360001,143.5780029,
ANU,Antigua,AG,,,ANU,V C Bird Intl Arpt,N,,,,,,17.1367,-61.792702,
CBX,Condobolin,AU,NSW,,,,N,,,,,,-33.06439972,147.2089996,
ANW,Ainsworth,US,NE,,ANW,Ainsworth Minicipal Arpt,N,,,,,,42.579201,-99.992996,
ANX,Andenes,NO,,,ANX,Andenes Arpt,N,International,EMEA,Atlantic,Europe,EMEA,69.29250336,16.14419937,
CCL,Chinchilla,AU,QLD,,,,N,International,Pac-North,Australia,Australia,APAC,-26.77499962,150.6170044,
AOC,Altenburg,DE,,,AOC,Altenburg Nobitz Arpt,N,,,,,,50.98194504,12.50638866,
AOE,Eskisehir City,TR,,,,Anadolu University Arpt,N,,,,,,39.809898,30.5194,
AOG,Anshan,CN,,,AOG  VBL,Anshan Air base,N,,,,,,41.105301,122.853996,
AOH,Lima,US,OH,,AOH,Allen County Arpt,N,,,,,,40.706902,-84.026703,
AOI,Ancona,IT,,,AOI,Falconara Arpt,N,International,EMEA,Atlantic,Europe,EMEA,43.616299,13.3623,
AOJ,Aomori,JP,,,AOJ,Aomori Arpt,N,International,Pac-North,Asia,Asia,APAC,40.73469925,140.6909943,
AOK,Karpathos,GR,,,AOK,Karpathos Arpt,N,International,EMEA,Atlantic,Europe,EMEA,35.42139816,27.14599991,
AOL,Paso De Los Libres,AR,,,AOL,Paso De Los Libres Arpt,N,International,Latin America,South America,South America,South America,-29.6894,-57.1521,
AOO,Altoona,US,PA,,AOO,Blair Cty Arpt,N,North America,North America,North America,North America,North America,40.29639816,-78.31999969,
AOQ,Aappilattoq,GL,,,AOQ,Aappilattoq Heliport,N,,,,,,,,
AOR,Alor Setar,MY,,,AOR,Sultan Abdul Halim Arpt,N,,,,,,6.189670086,100.3980026,
AOS,Amook Bay,US,AK,,AOS,Amook Bay Sea Plane Base,N,North America,North America,North America,North America,North America,57.4715004,-153.8150024,
AOT,Aosta,IT,,,AOT,Corrado Gex Arpt,N,,,,,,45.738499,7.36872,
APC,Napa,US,CA,,APC,Napa Cty Arpt,N,North America,North America,North America,North America,North America,38.2132,-122.280998,
APF,Naples,US,FL,FMY,APF,Naples Municipal,N,North America,North America,North America,North America,North America,26.15259933,-81.77529907,
APG,Aberdeen,US,MD,,APG,Phillips Army Air Field,N,North America,North America,North America,North America,North America,39.466202,-76.1688,
CCW,Cowell,AU,SA,,,,N,International,Pac-North,Australia,Australia,APAC,-33.66669846,136.8919983,
CDQ,Croydon,AU,QLD,,,,N,,,,,,-18.22500038,142.2579956,
APL,Nampula,MZ,,,APL,Nampula Arpt,N,,,,,,-15.10560036,39.28179932,
APN,Alpena,US,MI,,APN,Phelps Collins Arpt,N,North America,North America,North America,North America,North America,45.0780983,-83.56030273,
APO,Apartado,CO,,,APO,Carepa A R Betancourt Arpt,N,International,Latin America,South America,South America,South America,7.81196,-76.7164,
APS,Anapolis,BR,GO,,APS,Anapolis Arpt,N,International,Latin America,South America,South America,South America,-16.36230087,-48.92710114,
APV,Applevalley,US,CA,,APV,Apple Valley Arpt,N,North America,North America,North America,North America,North America,34.57529831,-117.185997,
APW,Apia,WS,,,APW  FGI,Apia Airport,N,,,,,,-13.82999992,-172.0079956,
CFH,Clifton Hills,AU,SA,,,,N,International,Pac-North,Australia,Australia,APAC,-27.0182991,138.8919983,
AQA,Araraquara,BR,SP,,AQA,Bartolomeu de Gusmao Arpt,N,International,Latin America,South America,South America,South America,-21.81200027,-48.13299942,
AQG,Anqing,CN,,,,Anqing Arpt,N,,,,,,30.582199,117.050003,
AQI,Qaisumah,SA,,,AQI,Qaisumah Arpt,N,,,,,,28.335199,46.125099,
AQJ,Aqaba,JO,,,AQJ,Aqaba Airport,N,,,,,,29.61160088,35.01810074,
AQM,Ariquemes,BR,RO,,AQM,Ariquemes Arpt,N,International,Latin America,South America,South America,South America,-10.17805576,-62.82555771,
AQP,Arequipa,PE,,,AQP,Rodriguez Ballon Intl,N,,,,,,-16.34110069,-71.58309937,
AQY,Girdwood,US,AK,,AQY,Girdwood Arpt,N,,,,,,60.966099,-149.126007,
ARA,NEW IBERIA,US,LA,,ARA,Acadiana Regional,N,,,,,,30.0378,-91.883904,
ARB,Ann Arbor,US,MI,,ARB,Ann Arbor Municipal,N,North America,North America,North America,North America,North America,42.22299957,-83.74559784,
ARC,Arctic Village,US,AK,,ARC,Arctic Village Arpt,N,North America,North America,North America,North America,North America,68.1147,-145.578995,
